date,state_code,state_name,actual,normal,deviation,rainfall_1day,rainfall_3day,rainfall_7day,temperature,humidity,pressure,wind_speed,flood_occurred
2013-11-15,12,Arunachal Pradesh,0.0,0.6,-100.0,0.0,0.0,0.0,19.0,71,981.5,4.1,0.0
2018-08-07,18,Assam,2.12,10.62,-80.04,2.12,14.359999999999978,65.26999999999998,28.2,85,994.3,6.0,1.0
2011-08-17,29,Karnataka,14.27,7.5,90.27,14.27,27.37999999999998,46.99999999999999,21.4,89,908.9,9.9,0.0
2010-01-27,28,Andhra Pradesh,0.0,0.09,-100.0,0.0,0.0,0.0,24.6,68,1009.7,7.5,0.0
2011-06-15,5,Uttarakhand,3.42,4.37,-21.74,3.42,16.410000000000014,28.53,17.7,77,777.4,3.1,1.0
2014-06-26,18,Assam,15.48,14.28,8.4,15.48,42.24,128.83,28.3,87,996.8,6.2,1.0
2009-02-05,12,Arunachal Pradesh,0.0,3.45,-100.0,0.0,0.68,15.51,17.0,75,980.7,3.6,0.0
2013-10-21,19,West Bengal,7.85,3.94,99.24,7.85,9.600000000000014,50.22,25.8,88,1008.3,4.0,1.0
2017-08-11,19,West Bengal,32.34,10.71,201.96,32.34,62.11000000000002,99.08,29.0,83,1000.2,16.2,1.0
2018-06-22,18,Assam,10.37,15.98,-35.11,10.37,20.25999999999997,69.43999999999998,27.8,87,995.8,6.4,1.0
2018-07-26,9,Uttar Pradesh,32.32,10.06,221.27,32.32,52.169999999999966,84.82999999999998,27.1,91,983.2,13.5,1.0
2010-06-01,22,Chhattisgarh,0.0,1.24,-100.0,0.0,1.139999999999982,6.309999999999998,37.8,20,969.5,8.3,0.0
2017-07-10,18,Assam,26.24,14.27,83.88,26.24,70.74999999999999,142.68,25.4,95,999.0,6.9,0.0
2017-04-23,6,Haryana,0.01,0.13,-92.31,0.01,0.4099999999999716,0.41,31.0,35,979.1,9.3,0.0
2016-04-20,9,Uttar Pradesh,0.0,0.42,-100.0,0.0,0.159999999999992,0.1599999999999929,33.5,28,991.8,14.9,0.0
2013-06-12,19,West Bengal,2.49,9.68,-74.28,2.49,24.48000000000002,52.92,27.4,87,997.0,15.0,1.0
2020-06-01,22,Chhattisgarh,6.51,1.24,425.0,6.51,16.010000000000012,18.50000000000001,32.0,55,974.3,9.8,1.0
2019-08-12,19,West Bengal,7.82,11.99,-34.78,7.82,12.060000000000027,67.26,27.9,90,995.9,7.7,1.0
2016-08-14,22,Chhattisgarh,5.03,14.43,-65.14,5.03,41.46000000000004,67.34,26.5,83,968.4,14.8,0.0
2010-05-13,18,Assam,22.13,9.86,124.44,22.13,44.6,83.67999999999999,25.8,87,997.4,6.6,0.0
2013-08-22,18,Assam,7.04,13.15,-46.46,7.04,12.489999999999991,44.28,28.4,82,996.0,4.1,1.0
2010-08-01,19,West Bengal,18.81,11.7,60.77,18.81,49.50000000000003,70.73,26.9,91,1001.5,10.2,0.0
2009-08-29,29,Karnataka,3.13,4.75,-34.11,3.13,10.299999999999994,56.53999999999999,22.5,77,910.3,14.9,0.0
2016-09-17,29,Karnataka,3.47,6.99,-50.36,3.47,28.909999999999982,43.680000000000014,22.8,74,909.8,16.5,0.0
2020-06-01,9,Uttar Pradesh,1.93,0.88,119.32,1.93,10.169999999999972,11.989999999999997,28.7,69,993.1,7.7,1.0
2011-06-15,9,Uttar Pradesh,6.22,2.26,175.22,6.22,11.979999999999997,21.870000000000005,29.9,72,985.0,8.0,1.0
2009-07-01,18,Assam,16.46,14.28,15.27,16.46,48.370000000000005,87.83,26.4,95,995.2,3.5,1.0
2015-07-07,12,Arunachal Pradesh,0.21,20.22,-98.96,0.21,31.58,94.13999999999996,27.9,81,968.2,5.1,1.0
2020-06-01,10,Bihar,1.32,2.6,-49.23,1.32,10.930000000000026,17.670000000000012,30.5,69,999.4,8.0,1.0
2013-06-19,9,Uttar Pradesh,14.31,2.48,477.02,14.31,78.81999999999998,88.27000000000001,28.4,80,985.7,6.2,0.0
2012-08-21,2,Himachal Pradesh,9.84,8.01,22.85,9.84,30.059999999999988,58.01999999999998,16.7,95,780.9,4.6,1.0
2011-02-27,28,Andhra Pradesh,0.05,0.09,-44.44,0.05,0.12,12.929999999999978,25.7,72,1007.0,7.6,0.0
2019-07-14,2,Himachal Pradesh,8.52,9.45,-9.84,8.52,21.0,43.74999999999999,16.1,92,778.2,5.2,1.0
2016-06-25,18,Assam,11.24,13.64,-17.6,11.24,55.91999999999999,104.55,27.3,90,998.5,4.8,1.0
2012-06-26,18,Assam,56.75,14.28,297.41,56.75,89.91999999999999,158.72,27.0,92,990.6,7.5,1.0
2018-09-25,22,Chhattisgarh,1.4,5.48,-74.45,1.4,1.8700000000000248,49.65000000000001,27.4,82,975.6,7.6,0.0
2020-10-14,20,Jharkhand,0.01,2.09,-99.52,0.01,0.4499999999999627,15.180000000000025,24.6,83,936.8,11.0,0.0
2020-10-01,29,Karnataka,9.09,5.99,51.75,9.09,18.12999999999998,53.58000000000002,22.1,81,909.7,13.1,1.0
2010-01-05,5,Uttarakhand,0.02,1.71,-98.83,0.02,0.8300000000000142,0.83,7.5,69,776.7,4.7,0.0
2013-01-29,9,Uttar Pradesh,0.0,1.45,-100.0,0.0,0.0,0.0,14.4,75,1001.9,7.6,0.0
2013-07-17,5,Uttarakhand,16.66,14.57,14.34,16.66,39.45999999999998,105.51,18.8,86,778.6,3.6,0.0
2015-07-07,5,Uttarakhand,17.47,14.29,22.25,17.47,37.93999999999998,88.50999999999999,17.5,84,777.3,3.0,1.0
