DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update
2009-0303-IND,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,IND,India,Southern Asia,Asia,Delhi province,Torrential rain,,No,No,No,,,Km2,,,,2009,7.0,29.0,2009,7.0,29.0,11.0,,,,,,,,,,,70.40886176,"[{""adm1_code"":1489,""adm1_name"":""Delhi""}]",2009-08-13,2023-09-25
2009-0409-IND,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,GLIDE:FL-2009-000194,,IND,India,Southern Asia,Asia,"Bihar, Orissa, West Bengal, Assam, Kerala, Gujarat, Karnataka provinces",Monsoon rain,,No,No,No,,,Km2,,,,2009,7.0,,2009,9.0,,992.0,,1886000.0,,1886000.0,,,,,220000.0,312461.0,70.40886176,"[{""adm1_code"":1487,""adm1_name"":""Assam""},{""adm1_code"":1491,""adm1_name"":""Gujarat""},{""adm1_code"":1494,""adm1_name"":""Karnataka""},{""adm1_code"":1495,""adm1_name"":""Kerala""},{""adm1_code"":1504,""adm1_name"":""Orissa""},{""adm1_code"":1511,""adm1_name"":""West Bengal""},{""adm1_code"":70073,""adm1_name"":""Bihar""}]",2010-03-05,2023-09-25
2009-0429-IND,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,GLIDE:FL-2009-000217,,IND,India,Southern Asia,Asia,"Belgaum, Gulbarga, Bijapur, Raichur, Dharwad, Bagalkot, Bellary, Koppal, Haveri, Bidar, Gadag, Davanegere, Uttar Kannand, Dakshin Kannad districts (Karnataka province), Kurnool, Mahbubnagar, Karimnagar, Anantapur, Krishna, Cuddapah, Guntur, Khammam, Nalgonda districts (Andhra Pradesh province), Maharashtra province",Torrential rains,,Yes,No,No,728.0,309700.0,Km2,15.71,78.23,Tungabhadra and Krishna rivers,2009,9.0,25.0,2009,10.0,12.0,355.0,,4100000.0,,4100000.0,,,51000.0,72434.0,2150000.0,3053593.0,70.40886176,"[{""adm1_code"":1498,""adm1_name"":""Maharashtra""},{""adm2_code"":17548,""adm2_name"":""Anantapur""},{""adm2_code"":17550,""adm2_name"":""Cuddapah""},{""adm2_code"":17552,""adm2_name"":""Guntur""},{""adm2_code"":17554,""adm2_name"":""Karimnagar""},{""adm2_code"":17555,""adm2_name"":""Khammam""},{""adm2_code"":17556,""adm2_name"":""Krishna""},{""adm2_code"":17557,""adm2_name"":""Kurnool""},{""adm2_code"":17558,""adm2_name"":""Mahbubnagar""},{""adm2_code"":17560,""adm2_name"":""Nalgonda""},{""adm2_code"":17679,""adm2_name"":""Belgaum""},{""adm2_code"":17680,""adm2_name"":""Bellary""},{""adm2_code"":17681,""adm2_name"":""Bidar""},{""adm2_code"":17682,""adm2_name"":""Bijapur""},{""adm2_code"":17685,""adm2_name"":""Dakshin Kannad""},{""adm2_code"":17686,""adm2_name"":""Dharwad""},{""adm2_code"":17687,""adm2_name"":""Gulbarga""},{""adm2_code"":17693,""adm2_name"":""Raichur""},{""adm2_code"":17696,""adm2_name"":""Uttar Kannand""},{""adm2_code"":70157,""adm2_name"":""Bagalkot""},{""adm2_code"":70162,""adm2_name"":""Davanagere""},{""adm2_code"":70163,""adm2_name"":""Gadag""},{""adm2_code"":70164,""adm2_name"":""Haveri""},{""adm2_code"":70165,""adm2_name"":""Koppal""}]",2014-05-12,2023-09-25
2009-0443-IND,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,Jainta Hills district (Meghalaya province),Torrential rain,Broken Dam/Burst bank,No,No,No,,,Km2,,,,2009,10.0,9.0,2009,10.0,9.0,20.0,,,,,,,,,,,70.40886176,"[{""adm2_code"":17795,""adm2_name"":""Jaintia Hills""}]",2009-10-16,2023-09-25
2009-0483-IND,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,"Ooty, Coonoor cities (Nilgiris district, Tamil Nadu)",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,,35730.0,Km2,11.47,77.85,,2009,11.0,3.0,2009,11.0,8.0,70.0,8.0,,,8.0,,,,,64000.0,90898.0,70.40886176,"[{""adm2_code"":17873,""adm2_name"":""Nilgiris""}]",2010-03-05,2023-09-25
2009-0638-IND,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,"Darbhanga, Purnia, Sitamarhi, Saharsa, Madhubani districts (Bihar province)",Heavy rains,,No,No,No,,,Km2,,,,2009,8.0,26.0,2009,8.0,28.0,52.0,,,,,,,,,,,70.40886176,"[{""adm2_code"":17598,""adm2_name"":""Darbhanga""},{""adm2_code"":17611,""adm2_name"":""Madhubani""},{""adm2_code"":17621,""adm2_name"":""Purnia""},{""adm2_code"":17624,""adm2_name"":""Saharsa""},{""adm2_code"":17630,""adm2_name"":""Sitamarhi""}]",2010-03-05,2023-09-25
2010-0276-IND,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,"Ambala, Kurukshetra districts (Haryana province), Punjab, Kerala provinces",Monsoonal rains,,No,No,No,,147437.0,Km2,30.18,74.77,,2010,7.0,5.0,2010,7.0,15.0,53.0,,,400000.0,400000.0,,,,,447000.0,624619.0,71.56359558,"[{""adm1_code"":1495,""adm1_name"":""Kerala""},{""adm1_code"":1505,""adm1_name"":""Punjab""},{""adm2_code"":17654,""adm2_name"":""Ambala""},{""adm2_code"":17661,""adm2_name"":""Kurukshetra""}]",2011-03-15,2023-09-25
2010-0283-IND,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,GLIDE:TC-2010-000097,,IND,India,Southern Asia,Asia,Andhra Pradesh province,,,No,No,No,,63170.0,Km2,15.22,79.48,,2010,5.0,18.0,2010,5.0,24.0,27.0,,50000.0,,50000.0,,,,,,,71.56359558,"[{""adm1_code"":1485,""adm1_name"":""Andhra Pradesh""}]",2010-07-15,2023-09-25
2010-0321-IND,No,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,IND,India,Southern Asia,Asia,Delhi province,Heavy rains,,No,No,No,,,Km2,,,,2010,7.0,13.0,2010,7.0,13.0,11.0,,,,,,,,,,,71.56359558,"[{""adm1_code"":1489,""adm1_name"":""Delhi""}]",2010-07-27,2023-09-25
2010-0373-IND,No,nat-hyd-flo-fla,Natural,Hydrological,Flood,Flash flood,,,IND,India,Southern Asia,Asia,"Leh, Cholglamsar villages (72785 district, Jammu and Kashmir province)",Heavy rains,"Slide (land, mud, snow, rock)",Yes,No,No,,145000.0,Km2,33.53,76.12,,2010,8.0,6.0,2010,8.0,8.0,196.0,225.0,12500.0,,12725.0,,,,,,,71.56359558,"[{""adm2_code"":72785,""adm2_name"":""Administrative unit not available""}]",2014-07-28,2023-09-25
