date,state_name,flood_type,flood_occurred
2009-07-29,Delhi,Flash flood,1
2009-07-01,Assam,Riverine flood,1
2009-07-01,Gujarat,Riverine flood,1
2009-07-01,Karnataka,Riverine flood,1
2009-07-01,Kerala,Riverine flood,1
2009-07-01,Orissa,Riverine flood,1
2009-07-01,West Bengal,Riverine flood,1
2009-07-01,Bihar,Riverine flood,1
2009-09-25,Maharashtra,Riverine flood,1
2010-07-05,Kerala,Riverine flood,1
2010-07-05,Punjab,Riverine flood,1
2010-05-18,Andhra Pradesh,Riverine flood,1
2010-07-13,Delhi,Riverine flood,1
2010-09-18,Bihar,Riverine flood,1
2010-09-18,Uttar Pradesh,Riverine flood,1
2010-09-09,Haryana,Riverine flood,1
2010-09-09,Punjab,Riverine flood,1
2010-09-09,Uttar Pradesh,Riverine flood,1
2011-08-10,West Bengal,Riverine flood,1
2011-07-23,Rajasthan,Riverine flood,1
2011-09-05,Orissa,Riverine flood,1
2011-06-15,Uttar Pradesh,Riverine flood,1
2011-06-15,Uttarakhand,Riverine flood,1
2012-06-26,Assam,Riverine flood,1
2012-08-21,Himachal Pradesh,Riverine flood,1
2013-06-12,Gujarat,Riverine flood,1
2013-06-12,Himachal Pradesh,Riverine flood,1
2013-06-12,Karnataka,Riverine flood,1
2013-06-12,Kerala,Riverine flood,1
2013-06-12,West Bengal,Riverine flood,1
2013-06-12,Bihar,Riverine flood,1
2013-06-12,Uttar Pradesh,Riverine flood,1
2013-06-12,Uttarakhand,Riverine flood,1
2013-08-22,Assam,Riverine flood,1
2013-08-22,Uttar Pradesh,Riverine flood,1
2013-10-21,Andhra Pradesh,Riverine flood,1
2013-10-21,Orissa,Riverine flood,1
2013-10-21,West Bengal,Riverine flood,1
2014-06-26,Assam,Riverine flood,1
2014-07-16,Himachal Pradesh,Riverine flood,1
2014-07-16,Uttarakhand,Riverine flood,1
2014-08-03,Orissa,Riverine flood,1
2014-09-01,Administrative unit not available,Riverine flood,1
2014-09-01,Administrative unit not available,Riverine flood,1
2014-09-01,Administrative unit not available,Riverine flood,1
2014-09-01,Administrative unit not available,Riverine flood,1
2014-09-01,Administrative unit not available,Riverine flood,1
2014-09-01,Administrative unit not available,Riverine flood,1
2014-09-01,Administrative unit not available,Riverine flood,1
2014-09-01,Administrative unit not available,Riverine flood,1
2014-09-01,Administrative unit not available,Riverine flood,1
2014-09-01,Administrative unit not available,Riverine flood,1
2014-08-16,Assam,Riverine flood,1
2014-08-16,Bihar,Riverine flood,1
2014-08-16,Uttarakhand,Riverine flood,1
2014-08-09,Orissa,Riverine flood,1
2015-06-19,Maharashtra,Riverine flood,1
2015-07-15,Manipur,Riverine flood,1
2015-07-15,Orissa,Riverine flood,1
2015-07-15,Rajasthan,Riverine flood,1
2015-07-15,Madhya Pradesh,Riverine flood,1
2015-07-07,Haryana,Riverine flood,1
