date,state_code,state_name,actual,normal,deviation,rainfall_1day,rainfall_3day,rainfall_7day,temperature,humidity,pressure,wind_speed,flood_occurred
2009-01-07,28,Andhra Pradesh,0.0,0.06,-100.0,0.0,0.0,0.02,23.0,72,1008.7,9.5,0.0
2009-01-08,28,Andhra Pradesh,0.11,0.05,120.0,0.11,0.11,0.13,23.8,67,1010.5,10.3,0.0
2009-01-09,28,Andhra Pradesh,0.17,0.06,183.33,0.17,0.28,0.3,24.1,67,1011.1,10.2,0.0
2009-01-10,28,Andhra Pradesh,0.01,0.24,-95.83,0.01,0.29,0.29,24.3,69,1010.8,9.0,0.0
2009-01-11,28,Andhra Pradesh,0.01,0.27,-96.3,0.01,0.19,0.3,24.1,72,1010.8,8.6,0.0
2009-01-12,28,Andhra Pradesh,0.0,0.27,-100.0,0.0,0.0199999999999999,0.3,23.9,71,1012.4,8.2,0.0
2009-01-13,28,Andhra Pradesh,0.0,0.29,-100.0,0.0,0.0099999999999999,0.3,23.8,72,1013.1,10.4,0.0
2009-01-14,28,Andhra Pradesh,0.02,0.33,-93.94,0.02,0.0199999999999999,0.32,23.8,72,1013.1,10.6,0.0
2009-01-15,28,Andhra Pradesh,0.01,0.39,-97.44,0.01,0.0299999999999999,0.22,24.1,68,1012.7,10.2,0.0
2009-01-16,28,Andhra Pradesh,0.0,0.43,-100.0,0.0,0.0299999999999999,0.05,23.8,70,1012.3,7.5,0.0
2009-01-17,28,Andhra Pradesh,0.0,0.03,-100.0,0.0,0.0099999999999999,0.04,24.1,72,1010.5,7.1,0.0
2009-01-18,28,Andhra Pradesh,0.0,0.07,-100.0,0.0,0.0,0.03,24.0,72,1009.6,6.2,0.0
2009-01-19,28,Andhra Pradesh,0.0,0.12,-100.0,0.0,0.0,0.03,24.3,71,1008.6,5.9,0.0
2009-01-20,28,Andhra Pradesh,0.0,0.07,-100.0,0.0,0.0,0.03,24.5,71,1008.7,5.3,0.0
2009-01-21,28,Andhra Pradesh,0.0,0.03,-100.0,0.0,0.0,0.01,24.8,70,1008.2,5.6,0.0
2009-01-22,28,Andhra Pradesh,0.0,0.03,-100.0,0.0,0.0,0.0,25.2,69,1006.9,5.5,0.0
2009-01-23,28,Andhra Pradesh,0.0,0.08,-100.0,0.0,0.0,0.0,25.2,71,1005.8,5.5,0.0
2009-01-24,28,Andhra Pradesh,0.0,0.11,-100.0,0.0,0.0,0.0,25.0,71,1006.1,6.4,0.0
2009-01-25,28,Andhra Pradesh,0.0,0.04,-100.0,0.0,0.0,0.0,24.8,71,1006.8,5.9,0.0
2009-01-26,28,Andhra Pradesh,0.0,0.03,-100.0,0.0,0.0,0.0,24.4,72,1007.1,6.1,0.0
2009-01-27,28,Andhra Pradesh,0.0,0.09,-100.0,0.0,0.0,0.0,24.4,69,1007.1,5.5,0.0
2009-01-28,28,Andhra Pradesh,0.0,0.19,-100.0,0.0,0.0,0.0,24.0,71,1006.7,5.8,0.0
2009-01-29,28,Andhra Pradesh,0.0,0.08,-100.0,0.0,0.0,0.0,24.3,69,1006.9,5.5,0.0
2009-01-30,28,Andhra Pradesh,0.0,0.15,-100.0,0.0,0.0,0.0,25.2,70,1007.1,6.0,0.0
2009-01-31,28,Andhra Pradesh,0.0,0.31,-100.0,0.0,0.0,0.0,25.8,71,1006.4,6.5,0.0
2009-02-01,28,Andhra Pradesh,0.0,0.3,-100.0,0.0,0.0,0.0,26.1,69,1007.2,8.0,0.0
2009-02-02,28,Andhra Pradesh,0.0,0.16,-100.0,0.0,0.0,0.0,26.1,71,1007.7,7.9,0.0
2009-02-03,28,Andhra Pradesh,0.0,0.13,-100.0,0.0,0.0,0.0,26.0,73,1007.5,8.0,0.0
2009-02-04,28,Andhra Pradesh,0.0,0.07,-100.0,0.0,0.0,0.0,26.3,71,1008.0,8.3,0.0
2009-02-05,28,Andhra Pradesh,0.0,0.03,-100.0,0.0,0.0,0.0,26.1,73,1007.9,8.9,0.0
2009-02-06,28,Andhra Pradesh,0.0,0.1,-100.0,0.0,0.0,0.0,26.4,70,1007.7,6.9,0.0
2009-02-07,28,Andhra Pradesh,0.0,0.1,-100.0,0.0,0.0,0.0,26.6,67,1007.2,7.0,0.0
2009-02-08,28,Andhra Pradesh,0.0,0.17,-100.0,0.0,0.0,0.0,26.5,66,1008.8,7.0,0.0
2009-02-09,28,Andhra Pradesh,0.0,0.13,-100.0,0.0,0.0,0.0,26.0,67,1009.0,7.6,0.0
2009-02-10,28,Andhra Pradesh,0.02,0.07,-71.43,0.02,0.0199999999999999,0.02,25.8,66,1007.8,7.6,0.0
2009-02-11,28,Andhra Pradesh,0.0,0.1,-100.0,0.0,0.0199999999999999,0.02,25.8,64,1006.5,7.1,0.0
2009-02-12,28,Andhra Pradesh,0.0,0.13,-100.0,0.0,0.0199999999999999,0.02,26.8,61,1005.6,5.2,0.0
2009-02-13,28,Andhra Pradesh,0.0,0.16,-100.0,0.0,0.0,0.02,27.1,63,1004.7,5.2,0.0
2009-02-14,28,Andhra Pradesh,0.0,0.62,-100.0,0.0,0.0,0.02,27.2,67,1004.9,6.9,0.0
2009-02-15,28,Andhra Pradesh,0.0,0.3,-100.0,0.0,0.0,0.02,27.2,67,1004.7,6.5,0.0
2009-02-16,28,Andhra Pradesh,0.0,0.4,-100.0,0.0,0.0,0.02,26.2,68,1006.5,9.0,0.0
2009-02-17,28,Andhra Pradesh,0.0,0.34,-100.0,0.0,0.0,0.0,26.4,65,1007.3,7.5,0.0
2009-02-18,28,Andhra Pradesh,0.0,0.31,-100.0,0.0,0.0,0.0,26.9,63,1005.7,5.6,0.0
2009-02-19,28,Andhra Pradesh,0.0,0.36,-100.0,0.0,0.0,0.0,26.9,62,1004.7,7.7,0.0
2009-02-20,28,Andhra Pradesh,0.0,0.44,-100.0,0.0,0.0,0.0,26.5,65,1007.2,8.3,0.0
2009-02-21,28,Andhra Pradesh,0.0,0.39,-100.0,0.0,0.0,0.0,26.9,62,1006.6,5.9,0.0
2009-02-22,28,Andhra Pradesh,0.0,0.3,-100.0,0.0,0.0,0.0,27.8,60,1004.0,7.4,0.0
2009-02-23,28,Andhra Pradesh,0.0,0.33,-100.0,0.0,0.0,0.0,27.7,66,1004.3,7.7,0.0
2009-02-24,28,Andhra Pradesh,0.0,0.35,-100.0,0.0,0.0,0.0,28.4,64,1003.6,9.5,0.0
2009-02-25,28,Andhra Pradesh,0.0,0.2,-100.0,0.0,0.0,0.0,29.4,64,1002.6,7.3,0.0
2009-02-26,28,Andhra Pradesh,0.0,0.19,-100.0,0.0,0.0,0.0,29.5,62,1002.9,5.7,0.0
2009-02-27,28,Andhra Pradesh,0.0,0.09,-100.0,0.0,0.0,0.0,29.2,65,1004.1,7.3,0.0
2009-02-28,28,Andhra Pradesh,0.0,0.16,-100.0,0.0,0.0,0.0,29.5,58,1003.5,7.2,0.0
2009-03-01,28,Andhra Pradesh,0.0,0.1,-100.0,0.0,0.0,0.0,30.1,51,1002.9,6.0,0.0
2009-03-02,28,Andhra Pradesh,0.0,0.1,-100.0,0.0,0.0,0.0,28.5,65,1004.0,7.8,0.0
2009-03-03,28,Andhra Pradesh,0.0,0.15,-100.0,0.0,0.0,0.0,28.4,67,1004.0,6.3,0.0
2009-03-04,28,Andhra Pradesh,0.0,0.27,-100.0,0.0,0.0,0.0,29.2,65,1003.4,7.1,0.0
2009-03-05,28,Andhra Pradesh,0.0,0.66,-100.0,0.0,0.0,0.0,29.5,62,1002.7,6.0,0.0
2009-03-06,28,Andhra Pradesh,0.0,1.0,-100.0,0.0,0.0,0.0,29.7,59,1003.1,6.2,0.0
2009-03-07,28,Andhra Pradesh,0.0,0.43,-100.0,0.0,0.0,0.0,29.1,68,1003.5,7.6,0.0
2009-03-08,28,Andhra Pradesh,0.0,0.43,-100.0,0.0,0.0,0.0,27.9,67,1004.0,9.0,0.0
2009-03-09,28,Andhra Pradesh,0.0,0.29,-100.0,0.0,0.0,0.0,27.0,68,1005.3,8.2,0.0
2009-03-10,28,Andhra Pradesh,0.09,0.2,-55.0,0.09,0.0899999999999999,0.09,27.4,62,1006.7,8.0,0.0
2009-03-11,28,Andhra Pradesh,0.06,0.59,-89.83,0.06,0.1499999999999999,0.15,28.5,54,1006.3,6.0,0.0
2009-03-12,28,Andhra Pradesh,0.25,0.25,0.0,0.25,0.3999999999999999,0.4,29.2,48,1004.7,5.7,0.0
2009-03-13,28,Andhra Pradesh,0.03,0.27,-88.89,0.03,0.3399999999999999,0.43,28.9,58,1006.4,8.2,0.0
2009-03-14,28,Andhra Pradesh,0.0,0.37,-100.0,0.0,0.28,0.43,28.0,64,1006.6,7.9,0.0
2009-03-15,28,Andhra Pradesh,0.03,0.09,-66.67,0.03,0.06,0.46,28.6,61,1005.4,5.4,0.0
2009-03-16,28,Andhra Pradesh,0.43,0.16,168.75,0.43,0.4599999999999999,0.89,28.8,60,1004.3,5.2,0.0
2009-03-17,28,Andhra Pradesh,0.0,0.05,-100.0,0.0,0.46,0.8,28.1,67,1004.5,7.8,0.0
