date,state_code,state_name,actual,normal,deviation,rainfall_1day,rainfall_3day,rainfall_7day
2009-01-07,28,Andhra Pradesh,0.0,0.06,-100.0,0.0,0.0,0.02
2009-01-08,28,Andhra Pradesh,0.11,0.05,120.0,0.11,0.11,0.13
2009-01-09,28,Andhra Pradesh,0.17,0.06,183.33,0.17,0.28,0.30000000000000004
2009-01-10,28,Andhra Pradesh,0.01,0.24,-95.83,0.01,0.29,0.29
2009-01-11,28,Andhra Pradesh,0.01,0.27,-96.3,0.01,0.19,0.3
2009-01-12,28,Andhra Pradesh,0.0,0.27,-100.0,0.0,0.019999999999999973,0.3
2009-01-13,28,Andhra Pradesh,0.0,0.29,-100.0,0.0,0.009999999999999972,0.3
2009-01-14,28,Andhra Pradesh,0.02,0.33,-93.94,0.02,0.019999999999999973,0.32
2009-01-15,28,Andhra Pradesh,0.01,0.39,-97.44,0.01,0.02999999999999997,0.22
2009-01-16,28,Andhra Pradesh,0.0,0.43,-100.0,0.0,0.02999999999999997,0.05
2009-01-17,28,Andhra Pradesh,0.0,0.03,-100.0,0.0,0.009999999999999972,0.04
2009-01-18,28,Andhra Pradesh,0.0,0.07,-100.0,0.0,0.0,0.03
2009-01-19,28,Andhra Pradesh,0.0,0.12,-100.0,0.0,0.0,0.03
2009-01-20,28,Andhra Pradesh,0.0,0.07,-100.0,0.0,0.0,0.03
2009-01-21,28,Andhra Pradesh,0.0,0.03,-100.0,0.0,0.0,0.01
2009-01-22,28,Andhra Pradesh,0.0,0.03,-100.0,0.0,0.0,0.0
2009-01-23,28,Andhra Pradesh,0.0,0.08,-100.0,0.0,0.0,0.0
2009-01-24,28,Andhra Pradesh,0.0,0.11,-100.0,0.0,0.0,0.0
2009-01-25,28,Andhra Pradesh,0.0,0.04,-100.0,0.0,0.0,0.0
2009-01-26,28,Andhra Pradesh,0.0,0.03,-100.0,0.0,0.0,0.0
2009-01-27,28,Andhra Pradesh,0.0,0.09,-100.0,0.0,0.0,0.0
2009-01-28,28,Andhra Pradesh,0.0,0.19,-100.0,0.0,0.0,0.0
2009-01-29,28,Andhra Pradesh,0.0,0.08,-100.0,0.0,0.0,0.0
2009-01-30,28,Andhra Pradesh,0.0,0.15,-100.0,0.0,0.0,0.0
2009-01-31,28,Andhra Pradesh,0.0,0.31,-100.0,0.0,0.0,0.0
2009-02-01,28,Andhra Pradesh,0.0,0.3,-100.0,0.0,0.0,0.0
2009-02-02,28,Andhra Pradesh,0.0,0.16,-100.0,0.0,0.0,0.0
