date,city,latitude,longitude,temperature,humidity,pressure,wind_speed
2009-01-01,Delhi,28.61,77.23,14.0,69,990.7,9.6
2009-01-02,Delhi,28.61,77.23,14.4,65,991.5,5.5
2009-01-03,Delhi,28.61,77.23,14.7,67,991.7,5.2
2009-01-04,Delhi,28.61,77.23,14.3,69,989.8,7.9
2009-01-05,Delhi,28.61,77.23,14.9,74,988.5,5.5
2009-01-06,Delhi,28.61,77.23,14.1,74,989.7,6.0
2009-01-07,Delhi,28.61,77.23,13.3,64,992.8,6.4
2009-01-08,Delhi,28.61,77.23,13.1,70,995.4,6.5
2009-01-09,Delhi,28.61,77.23,13.9,70,995.4,5.7
2009-01-10,Delhi,28.61,77.23,15.5,67,994.8,9.0
2009-01-11,Delhi,28.61,77.23,14.0,71,994.2,10.0
2009-01-12,Delhi,28.61,77.23,14.0,67,995.7,8.8
2009-01-13,Delhi,28.61,77.23,13.7,68,997.0,7.7
2009-01-14,Delhi,28.61,77.23,14.9,67,996.3,9.3
2009-01-15,Delhi,28.61,77.23,15.5,64,995.4,8.7
2009-01-16,Delhi,28.61,77.23,17.9,66,994.4,6.6
2009-01-17,Delhi,28.61,77.23,18.0,75,992.8,7.9
2009-01-18,Delhi,28.61,77.23,18.0,85,991.3,6.2
2009-01-19,Delhi,28.61,77.23,16.3,80,992.5,12.5
2009-01-20,Delhi,28.61,77.23,14.9,69,991.9,15.4
2009-01-21,Delhi,28.61,77.23,15.3,55,990.7,15.2
2009-01-22,Delhi,28.61,77.23,16.2,55,990.0,12.8
2009-01-23,Delhi,28.61,77.23,17.5,52,989.0,15.8
2009-01-24,Delhi,28.61,77.23,19.1,56,987.2,14.2
2009-01-25,Delhi,28.61,77.23,18.5,68,986.6,7.8
2009-01-26,Delhi,28.61,77.23,18.3,71,986.7,8.1
2009-01-27,Delhi,28.61,77.23,16.6,67,988.6,9.3
2009-01-28,Delhi,28.61,77.23,16.8,67,989.0,12.3
2009-01-29,Delhi,28.61,77.23,16.2,68,989.9,7.1
2009-01-30,Delhi,28.61,77.23,16.2,67,990.2,8.9
2009-01-31,Delhi,28.61,77.23,16.5,63,989.4,13.5
2009-02-01,Delhi,28.61,77.23,16.1,57,989.4,11.1
2009-02-02,Delhi,28.61,77.23,16.2,57,990.2,6.9
2009-02-03,Delhi,28.61,77.23,17.4,59,989.8,3.9
2009-02-04,Delhi,28.61,77.23,18.7,63,989.4,5.0
2009-02-05,Delhi,28.61,77.23,18.5,67,989.0,9.5
2009-02-06,Delhi,28.61,77.23,19.3,68,990.0,7.3
2009-02-07,Delhi,28.61,77.23,18.2,62,991.1,11.5
2009-02-08,Delhi,28.61,77.23,16.7,56,992.0,9.4
2009-02-09,Delhi,28.61,77.23,16.8,55,990.6,7.2
2009-02-10,Delhi,28.61,77.23,17.7,67,987.0,10.4
2009-02-11,Delhi,28.61,77.23,14.9,84,988.8,7.9
2009-02-12,Delhi,28.61,77.23,15.6,77,989.4,9.4
2009-02-13,Delhi,28.61,77.23,17.1,73,986.2,7.8
2009-02-14,Delhi,28.61,77.23,18.2,71,987.8,5.7
2009-02-15,Delhi,28.61,77.23,16.9,68,989.1,11.8
2009-02-16,Delhi,28.61,77.23,15.9,64,990.1,9.7
2009-02-17,Delhi,28.61,77.23,16.2,63,990.4,8.6
2009-02-18,Delhi,28.61,77.23,17.3,59,989.4,12.7
2009-02-19,Delhi,28.61,77.23,18.2,52,987.4,13.1
2009-02-20,Delhi,28.61,77.23,19.8,54,990.1,8.8
2009-02-21,Delhi,28.61,77.23,20.4,47,989.7,11.4
2009-02-22,Delhi,28.61,77.23,20.7,44,985.3,11.1
2009-02-23,Delhi,28.61,77.23,21.3,51,983.8,5.1
2009-02-24,Delhi,28.61,77.23,22.2,53,983.0,6.3
2009-02-25,Delhi,28.61,77.23,21.5,55,983.8,9.3
2009-02-26,Delhi,28.61,77.23,20.8,45,984.7,10.2
2009-02-27,Delhi,28.61,77.23,21.0,40,986.6,13.5
2009-02-28,Delhi,28.61,77.23,20.4,34,986.2,17.8
2009-03-01,Delhi,28.61,77.23,21.2,30,985.1,14.8
2009-03-02,Delhi,28.61,77.23,22.5,40,985.7,9.6
2009-03-03,Delhi,28.61,77.23,23.5,57,984.6,7.9
2009-03-04,Delhi,28.61,77.23,24.3,51,983.0,8.5
2009-03-05,Delhi,28.61,77.23,23.2,49,983.9,13.4
2009-03-06,Delhi,28.61,77.23,22.6,39,984.6,11.0
2009-03-07,Delhi,28.61,77.23,22.5,42,984.5,9.8
2009-03-08,Delhi,28.61,77.23,21.9,41,985.3,9.6
2009-03-09,Delhi,28.61,77.23,21.7,41,988.5,8.6
2009-03-10,Delhi,28.61,77.23,21.9,38,989.6,11.1
2009-03-11,Delhi,28.61,77.23,21.7,35,989.3,12.7
2009-03-12,Delhi,28.61,77.23,22.0,35,986.8,14.8
2009-03-13,Delhi,28.61,77.23,23.0,45,988.8,6.7
