date,state_name,temperature,humidity,pressure,wind_speed
2009-01-01,Andhra Pradesh,23.8,72,1007.7,5.9
2009-01-02,Andhra Pradesh,24.2,72,1008.9,7.0
2009-01-03,Andhra Pradesh,23.6,74,1009.6,7.3
2009-01-04,Andhra Pradesh,24.1,73,1008.4,5.9
2009-01-05,Andhra Pradesh,23.9,75,1006.7,6.8
2009-01-06,Andhra Pradesh,23.2,73,1006.8,8.2
2009-01-07,Andhra Pradesh,23.0,72,1008.7,9.5
2009-01-08,Andhra Pradesh,23.8,67,1010.5,10.3
2009-01-09,Andhra Pradesh,24.1,67,1011.1,10.2
2009-01-10,Andhra Pradesh,24.3,69,1010.8,9.0
2009-01-11,Andhra Pradesh,24.1,72,1010.8,8.6
2009-01-12,Andhra Pradesh,23.9,71,1012.4,8.2
2009-01-13,Andhra Pradesh,23.8,72,1013.1,10.4
2009-01-14,Andhra Pradesh,23.8,72,1013.1,10.6
2009-01-15,Andhra Pradesh,24.1,68,1012.7,10.2
2009-01-16,Andhra Pradesh,23.8,70,1012.3,7.5
2009-01-17,Andhra Pradesh,24.1,72,1010.5,7.1
2009-01-18,Andhra Pradesh,24.0,72,1009.6,6.2
2009-01-19,Andhra Pradesh,24.3,71,1008.6,5.9
2009-01-20,Andhra Pradesh,24.5,71,1008.7,5.3
2009-01-21,Andhra Pradesh,24.8,70,1008.2,5.6
2009-01-22,Andhra Pradesh,25.2,69,1006.9,5.5
2009-01-23,Andhra Pradesh,25.2,71,1005.8,5.5
2009-01-24,Andhra Pradesh,25.0,71,1006.1,6.4
2009-01-25,Andhra Pradesh,24.8,71,1006.8,5.9
2009-01-26,Andhra Pradesh,24.4,72,1007.1,6.1
2009-01-27,Andhra Pradesh,24.4,69,1007.1,5.5
2009-01-28,Andhra Pradesh,24.0,71,1006.7,5.8
2009-01-29,Andhra Pradesh,24.3,69,1006.9,5.5
2009-01-30,Andhra Pradesh,25.2,70,1007.1,6.0
2009-01-31,Andhra Pradesh,25.8,71,1006.4,6.5
2009-02-01,Andhra Pradesh,26.1,69,1007.2,8.0
2009-02-02,Andhra Pradesh,26.1,71,1007.7,7.9
2009-02-03,Andhra Pradesh,26.0,73,1007.5,8.0
2009-02-04,Andhra Pradesh,26.3,71,1008.0,8.3
2009-02-05,Andhra Pradesh,26.1,73,1007.9,8.9
2009-02-06,Andhra Pradesh,26.4,70,1007.7,6.9
2009-02-07,Andhra Pradesh,26.6,67,1007.2,7.0
2009-02-08,Andhra Pradesh,26.5,66,1008.8,7.0
2009-02-09,Andhra Pradesh,26.0,67,1009.0,7.6
2009-02-10,Andhra Pradesh,25.8,66,1007.8,7.6
2009-02-11,Andhra Pradesh,25.8,64,1006.5,7.1
2009-02-12,Andhra Pradesh,26.8,61,1005.6,5.2
2009-02-13,Andhra Pradesh,27.1,63,1004.7,5.2
2009-02-14,Andhra Pradesh,27.2,67,1004.9,6.9
2009-02-15,Andhra Pradesh,27.2,67,1004.7,6.5
2009-02-16,Andhra Pradesh,26.2,68,1006.5,9.0
2009-02-17,Andhra Pradesh,26.4,65,1007.3,7.5
2009-02-18,Andhra Pradesh,26.9,63,1005.7,5.6
2009-02-19,Andhra Pradesh,26.9,62,1004.7,7.7
2009-02-20,Andhra Pradesh,26.5,65,1007.2,8.3
2009-02-21,Andhra Pradesh,26.9,62,1006.6,5.9
2009-02-22,Andhra Pradesh,27.8,60,1004.0,7.4
2009-02-23,Andhra Pradesh,27.7,66,1004.3,7.7
2009-02-24,Andhra Pradesh,28.4,64,1003.6,9.5
2009-02-25,Andhra Pradesh,29.4,64,1002.6,7.3
2009-02-26,Andhra Pradesh,29.5,62,1002.9,5.7
2009-02-27,Andhra Pradesh,29.2,65,1004.1,7.3
2009-02-28,Andhra Pradesh,29.5,58,1003.5,7.2
2009-03-01,Andhra Pradesh,30.1,51,1002.9,6.0
2009-03-02,Andhra Pradesh,28.5,65,1004.0,7.8
2009-03-03,Andhra Pradesh,28.4,67,1004.0,6.3
2009-03-04,Andhra Pradesh,29.2,65,1003.4,7.1
2009-03-05,Andhra Pradesh,29.5,62,1002.7,6.0
2009-03-06,Andhra Pradesh,29.7,59,1003.1,6.2
2009-03-07,Andhra Pradesh,29.1,68,1003.5,7.6
2009-03-08,Andhra Pradesh,27.9,67,1004.0,9.0
2009-03-09,Andhra Pradesh,27.0,68,1005.3,8.2
2009-03-10,Andhra Pradesh,27.4,62,1006.7,8.0
2009-03-11,Andhra Pradesh,28.5,54,1006.3,6.0
2009-03-12,Andhra Pradesh,29.2,48,1004.7,5.7
2009-03-13,Andhra Pradesh,28.9,58,1006.4,8.2
2009-03-14,Andhra Pradesh,28.0,64,1006.6,7.9
2009-03-15,Andhra Pradesh,28.6,61,1005.4,5.4
2009-03-16,Andhra Pradesh,28.8,60,1004.3,5.2
2009-03-17,Andhra Pradesh,28.1,67,1004.5,7.8
2009-03-18,Andhra Pradesh,28.6,64,1004.3,6.9
2009-03-19,Andhra Pradesh,28.8,65,1003.8,8.0
2009-03-20,Andhra Pradesh,29.0,67,1003.8,10.2
2009-03-21,Andhra Pradesh,28.6,69,1003.7,7.1
2009-03-22,Andhra Pradesh,29.1,66,1003.7,8.6
2009-03-23,Andhra Pradesh,28.7,65,1005.2,7.6
2009-03-24,Andhra Pradesh,28.9,63,1005.9,4.3
2009-03-25,Andhra Pradesh,29.5,58,1005.2,6.9
2009-03-26,Andhra Pradesh,29.0,62,1003.8,7.9
2009-03-27,Andhra Pradesh,29.3,66,1003.8,8.3
2009-03-28,Andhra Pradesh,29.3,66,1004.4,9.3
2009-03-29,Andhra Pradesh,29.4,67,1003.7,10.6
